,avgpss,batchid,computingsite,cpu_eff,cpuconsumptiontime,modificationhost,pandaid,wall_time
127,666232.0,6432052,IN2P3-CC,0.6029173,372,ccwsge0213,2858310334,617
128,1666061.0,6434742,IN2P3-CC,0.961902,6716,ccwsge0768,2858380741,6982
129,1683485.0,6434754,IN2P3-CC,0.96420246,7030,ccwsge0806,2858380742,7291
130,1620521.0,6434725,IN2P3-CC,0.9613827,7120,ccwsge0777,2858380739,7406
131,720923.0,6432084,IN2P3-CC,0.6850312,659,ccwsge0712,2858309879,962
132,859424.0,6432059,IN2P3-CC,0.66445917,602,ccwsge0116,2858309881,906
133,719196.0,6432324,IN2P3-CC,0.65037596,346,ccwsge1159,2858310353,532
134,831139.0,6427813,IN2P3-CC,0.7242744,549,ccwsge1132,2858310354,758
135,1064475.0,6438702,IN2P3-CC,0.91070014,6894,ccwsge0595,2858418767,7570
136,851446.0,6450258,IN2P3-CC,0.7836949,1192,ccwsge0602,2858458042,1521
137,1348002.0,6425579,IN2P3-CC,0.8370067,1633,ccwsge0253,2858281234,1951
138,1322097.0,6425577,IN2P3-CC,0.8538697,1677,ccwsge1109,2858281241,1964
139,1348649.0,6425580,IN2P3-CC,0.8287263,1529,ccwsge0942,2858281244,1845
140,1383297.0,6429129,IN2P3-CC,0.88780695,2097,ccwsge0783,2858281295,2362
141,1662271.0,6403522,IN2P3-CC,0.9746835,8239,ccwsge0794,2857881072,8453
142,1712646.0,6403581,IN2P3-CC,0.96803164,9054,ccwsge0118,2857881074,9353
143,1392749.0,6428936,IN2P3-CC,0.8196721,1950,ccwsge0784,2858281265,2379
144,1423559.0,6428940,IN2P3-CC,0.8731518,2244,ccwsge0228,2858281274,2570
145,1341690.0,6428928,IN2P3-CC,0.85558736,1493,ccwsge0589,2858281277,1745
146,1399475.0,6428956,IN2P3-CC,0.869146,2524,ccwsge0211,2858281279,2904
147,820723.0,6435931,IN2P3-CC,0.71118724,623,ccwsge0724,2858334646,876
148,761216.0,6433428,IN2P3-CC,0.6819249,581,ccwsge0768,2858334668,852
149,812293.0,6434313,IN2P3-CC,0.69589347,627,ccwsge0718,2858334673,901
150,740462.0,6430037,IN2P3-CC,0.7086168,625,ccwsge0197,2858310323,882
151,1141362.0,6437982,IN2P3-CC,0.78058106,2042,ccwsge0695,2858411046,2616
152,888689.0,6429967,IN2P3-CC,0.7210179,765,ccwsge0944,2858310264,1061
153,476772.0,6447830,IN2P3-CC,0.30892307,1004,ccwsge0147,2856930815,3250
154,862020.0,6450246,IN2P3-CC,0.8403558,1795,ccwsge0236,2858458063,2136
