COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	SCOPE	TRUNC(MEOL_AT,'MM')
170	8173	2673974056105	valid3	2017-01-01 00:00:00.0
269	6620	28179458818	mc_evind	2015-10-01 00:00:00.0
58	27535	3300209256436	valid2	2015-01-01 00:00:00.0
58	66419	6960641968818	mc15_valid	2019-04-01 00:00:00.0
64	62	33469106274	sit	2016-02-01 00:00:00.0
48	19958	24571005662112	data15_13TeV	2114-06-01 00:00:00.0
444	1954	1241615237224	data11_calib	2109-09-01 00:00:00.0
552	2190	1354146163736	data11_calib	2109-10-01 00:00:00.0
10	113	61612051436	data11_7TeV	2011-05-01 00:00:00.0
422	1672	1037502179916	data11_calib	2109-08-01 00:00:00.0
38	38	5574384161	data11_cos	2021-03-01 00:00:00.0
24	2005	1754857385576	data11_1beam	2109-09-01 00:00:00.0
7	7	273535543	data11_muoncomm	2020-12-01 00:00:00.0
219	7281	245123598556	data11_7TeV	2016-10-01 00:00:00.0
265	265	53572993354	data11_7TeV	2021-09-01 00:00:00.0
43	5349	1215076501668	data12_cos	2110-09-01 00:00:00.0
678	678	94576912537	data12_8TeV	2022-05-01 00:00:00.0
43	43	6593624837	data12_comm	2022-05-01 00:00:00.0
60	9546	36962770004035	data12_8TeV	2014-11-01 00:00:00.0
113	59896	44794100112298	data12_8TeV	2016-08-01 00:00:00.0
75	2112	291412800603	data13_cos	2017-12-01 00:00:00.0
19	19	3370545523	data12_cos	2022-09-01 00:00:00.0
47	3165	261426861392	data12_cos	2111-07-01 00:00:00.0
349	227751	11025148303553	data12_8TeV	2023-02-01 00:00:00.0
19	218	871914317988	data13_hip	2015-03-01 00:00:00.0
108	510	309655010448	data13_calib	2112-02-01 00:00:00.0
455	79949	24028942336853	data12_8TeV	2015-06-01 00:00:00.0
38	7813	647727847988	data11_7TeV	2024-02-01 00:00:00.0
71	895	553546652832	data14_cos	2112-12-01 00:00:00.0
210	1193	928428318380	data14_calib	2113-03-01 00:00:00.0
74	74	3023892778	data14_comm	2024-09-01 00:00:00.0
36	22000	1110660355332	mc11_7TeV	2017-01-01 00:00:00.0
127	67542	22177725643076	mc15_valid	2016-10-01 00:00:00.0
47	1481	783876642424	data_test	2114-08-01 00:00:00.0
24	7600	1508124177228	mc12_valid	2017-03-01 00:00:00.0
70	44544	5936774625843	mc12_7TeV	2017-04-01 00:00:00.0
20	8634	658678870898	mc12_7TeV	2017-07-01 00:00:00.0
53	3410	761645951876	data_test	2115-02-01 00:00:00.0
609	310551	9849210984071	mc12_8TeV	2017-10-01 00:00:00.0
13	10714	241345197992	mc12_valid	2017-09-01 00:00:00.0
26	26	1813928000	data16_comm	2026-05-01 00:00:00.0
19	1875	1770696059759	mc15_valid	2017-04-01 00:00:00.0
40	1084	51856166685	ddo	2010-06-01 00:00:00.0
36	36	49425704694	group.proj-sit	2010-03-01 00:00:00.0
84	84	11118536346	group.proj-sit	2010-09-01 00:00:00.0
149	149	55718278911	sit	2014-06-01 00:00:00.0
56	420	31632454	cond11_data	2012-07-01 00:00:00.0
39	39	31204076901	group.proj-sit	2011-07-01 00:00:00.0
64	64	3032120452	sit	2014-12-01 00:00:00.0
50	50	39598517766	sit	2015-07-01 00:00:00.0
84	882	105313825120	ddo	2012-05-01 00:00:00.0
56	616	117509056	cond09_data	2012-02-01 00:00:00.0
112	112	65920374996	ddo	2012-11-01 00:00:00.0
58	72	35144846806	ddo	2013-05-01 00:00:00.0
56	308	86121649222	ddo	2011-01-01 00:00:00.0
20	20	23899499676	ddo	2015-08-01 00:00:00.0
84	2598	906397685853	ddo	2011-11-01 00:00:00.0
47	29009	30710494508286	mc12_14TeV	2014-08-01 00:00:00.0
42	21000	2511056612771	mc12_13TeV	2017-04-01 00:00:00.0
68	11253	1325793078067	mc12_valid	2017-11-01 00:00:00.0
28	349	366532376916	data_test	2113-08-01 00:00:00.0
27	11807	3805458275072	data12_comm	2111-03-01 00:00:00.0
5	5	863230356	data11_900GeV	2020-12-01 00:00:00.0
6	6	1931399804	data15_900GeV	2025-07-01 00:00:00.0
14	5469	10190927804	mc15_13TeV	2015-09-01 00:00:00.0
16	23022	9632147360853	mc12_5TeV	2016-08-01 00:00:00.0
13	3383	431850860380	mc12_valid	2018-05-01 00:00:00.0
36	777	1314100962144	data08_idcomm	2107-12-01 00:00:00.0
4	4	21543275	data08_cos	2013-12-01 00:00:00.0
6	210	9070957	data08_1beammag	2013-12-01 00:00:00.0
35	388	353759949076	data09_larcomm	2108-05-01 00:00:00.0
12	1518	528995333	data09_2TeV	2010-12-01 00:00:00.0
4	344	11062181166	data10_900GeV	2026-05-01 00:00:00.0
4	36	2215106103	data10_900GeV	2011-05-01 00:00:00.0
12	42190	6026417096931	valid3	2017-11-01 00:00:00.0
18	70338	15067085771521	data10_hi	2015-07-01 00:00:00.0
20	14837	10331565121157	mc12_2TeV	2016-10-01 00:00:00.0
24	657	24092728905	valid3	2016-09-01 00:00:00.0
10	32	1807705739	mc15_evind	2016-11-01 00:00:00.0
13	37	57689168824	data15_calib	2115-02-01 00:00:00.0
25	24911	3089570009871	data15_comm	2015-08-01 00:00:00.0
62	455	107576409335	data12_comm	2017-02-01 00:00:00.0
21	21	906265579	data12_comm	2021-12-01 00:00:00.0
11	11	671672558	data12_calib	2022-03-01 00:00:00.0
19	19	1854280134	data12_cos	2022-07-01 00:00:00.0
13	1060	1555845986592	data11_calocomm	2109-08-01 00:00:00.0
36	36	27439154886	group.proj-sit	2009-11-01 00:00:00.0
27	27	11801348979	sit	2014-04-01 00:00:00.0
14	14	6869309804	ddo	2011-12-01 00:00:00.0
7	527	3321768750	mc11_2TeV	2016-09-01 00:00:00.0
9	11737	7520665995	data13_hip	2016-06-01 00:00:00.0
21	941	393283368717	data10_7TeV	2012-02-01 00:00:00.0
32	32	97687996	data10_cos	2011-04-01 00:00:00.0
11	11	635674653	data08_cosmag	2014-01-01 00:00:00.0
2	376	30555575598	data13_hip	2018-06-01 00:00:00.0
2	2	214184756	data09_muoncomm	2019-09-01 00:00:00.0
8	30	337910518	data10_1beam	2012-04-01 00:00:00.0
16	5844	238807553484	mc12_14TeV	2018-08-01 00:00:00.0
76	160	104261624016	data12_calib	2111-08-01 00:00:00.0
34	3666	5292576524719	mc12_8TeV	2014-08-01 00:00:00.0
12	8675	353748066947	mc15_valid	2018-04-01 00:00:00.0
67	801	31300819108	data_test	2114-07-01 00:00:00.0
24	42847	2941980627975	data15_hi	2016-04-01 00:00:00.0
19	968	2634593986173	data12_8TeV	2015-10-01 00:00:00.0
20	250	8500687953	ddo	2010-01-01 00:00:00.0
3	0	0	trash	2013-09-01 00:00:00.0
18	4157	4030337988792	mc14_8TeV	2016-06-01 00:00:00.0
14	14	11134506754	ddo	2013-09-01 00:00:00.0
1	1673	3111210270428	data11_hi	2114-01-01 00:00:00.0
14	8684	221013390170	mc15_valid	2018-02-01 00:00:00.0
18	42	8339132548	data09_900GeV	2014-04-01 00:00:00.0
13	13	45932593	data10_900GeV	2011-04-01 00:00:00.0
4	4	588891160	data08_cos	2009-10-01 00:00:00.0
25	25	239432144	data09_calophys	2014-07-01 00:00:00.0
8	8	2899315074	data16_13TeV	2026-02-01 00:00:00.0
6	0	0	valid1	2018-08-01 00:00:00.0
4	207	486460770161	data11_2p76TeV	2014-04-01 00:00:00.0
2	2	3369525	data12_calib	2017-04-01 00:00:00.0
32	847	1764962738974	data12_8TeV	2014-05-01 00:00:00.0
6	6	697809118	data13_8TeV	2022-11-01 00:00:00.0
13	104	14107591710	data13_2p76TeV	2016-01-01 00:00:00.0
13	2084	5438901414825	data13_2p76TeV	2016-12-01 00:00:00.0
3	28	4413968753	data13_8TeV	2023-10-01 00:00:00.0
18	11713	351433388939	mc12_valid	2016-11-01 00:00:00.0
12	22	14555292788	data14_calib	2113-07-01 00:00:00.0
21	21	1804890167	data11_cos	2021-06-01 00:00:00.0
15	906	2151468942633	data15_5TeV	2020-11-01 00:00:00.0
8	30702	792257593080	data11_hi	2025-08-01 00:00:00.0
2	666	302604455	data10_900GeV	2016-05-01 00:00:00.0
1	3635	1449900183	data11_hi	2016-01-01 00:00:00.0
7	7	1459885286	data12_hip	2022-11-01 00:00:00.0
7	4732	2532693499	data11_2p76TeV	2016-06-01 00:00:00.0
1	21461	34249352766	mc15_8TeV	2016-11-01 00:00:00.0
9	233	10873431412	data11_cos	2110-02-01 00:00:00.0
6	13560	798582239081	mc15_5TeV	2016-04-01 00:00:00.0
1	180	469313698300	data11_7TeV	2015-08-01 00:00:00.0
2	46	63229658590	data12_8TeV	2013-11-01 00:00:00.0
14	112	59921078	cond12_data	2012-04-01 00:00:00.0
3	750	144547127159	mc12_valid	2015-06-01 00:00:00.0
5	5	739236032	ddo	2008-09-01 00:00:00.0
11	1681	269605901365	valid2	2015-02-01 00:00:00.0
2	4	639378215	data09_calophys	2011-07-01 00:00:00.0
2	6	11065221184	mc12_5TeV	2018-02-01 00:00:00.0
1	82	5707153135	data12_cos	2013-11-01 00:00:00.0
3	3	120120115	data12_cos	2024-03-01 00:00:00.0
2	20	13536979006	mc12_13TeV	2016-11-01 00:00:00.0
2	2000	28751037092	mc12_5TeV	2018-01-01 00:00:00.0
6	6	508537233	data12_larcomm	2022-08-01 00:00:00.0
8	8	1585392796	data13_hip	2023-01-01 00:00:00.0
13	5285	4725626953773	data16_comm	2016-12-01 00:00:00.0
3	3	150948197	data11_comm	2021-06-01 00:00:00.0
3	3	957986824	data12_muoncomm	2017-10-01 00:00:00.0
2	1186	145096677477	data12_cvalid	2017-03-01 00:00:00.0
5	5000	205248837940	mc15_8TeV	2019-03-01 00:00:00.0
1	12	27726233446	data15_hi	2016-07-01 00:00:00.0
3	23166	376119581728	mc12_13TeV	2015-07-01 00:00:00.0
1	5345	9130891793473	data10_hi	2016-08-01 00:00:00.0
6	6	680743300	data12_muoncomm	2022-03-01 00:00:00.0
2	7	9738733	data12_cvalid	2019-07-01 00:00:00.0
4	4	119074036	data15_comm	2025-01-01 00:00:00.0
1	1	1591647	data08_1beammag	2010-09-01 00:00:00.0
1	1	58302	data11_comm	2016-04-01 00:00:00.0
2	664	22879670620	data10_900GeV	2017-06-01 00:00:00.0
2	2	789428	mc_evind	2017-03-01 00:00:00.0
1	1	421479708	data10_hi	2024-01-01 00:00:00.0
3	339	753859266	data15_1beam	2017-03-01 00:00:00.0
1	7	15030096668	data09_cvalid	2108-10-01 00:00:00.0
1	5345	1846360905158	data10_hi	2015-08-01 00:00:00.0
